year,doy,temp,temp_upper,temp_lower
801,92,7.38,12.1,2.66
802,94,8.07,12.79,3.35
803,108,6.38,11.1,1.66
807,91,6.44,11.16,1.72
815,105,6.83,11.55,2.11
831,96,7.28,12.0,2.56
851,108,7.32,12.04,2.6
853,108,6.3,11.02,1.58
864,119,5.42,10.14,0.7
866,105,7.78,12.5,3.06
875,113,6.5,11.22,1.78
877,92,8.12,12.84,3.4
884,158,4.64,9.36,-0.08
885,125,5.15,9.87,0.43
888,153,4.2,8.92,-0.52
891,117,5.89,10.61,1.17
892,96,7.57,12.29,2.85
894,108,6.3,11.02,1.58
895,96,8.3,13.02,3.58
898,108,6.3,11.02,1.58
900,96,8.3,13.02,3.58
901,119,5.15,9.87,0.43
903,106,6.3,11.02,1.58
905,96,8.3,13.02,3.58
906,108,6.3,11.02,1.58
907,96,8.3,13.02,3.58
908,108,6.3,11.02,1.58
909,96,8.3,13.02,3.58
913,96,8.3,13.02,3.58
914,96,8.3,13.02,3.58
915,108,6.3,11.02,1.58
919,96,8.3,13.02,3.58
920,108,6.3,11.02,1.58
921,96,8.3,13.02,3.58
922,108,6.3,11.02,1.58
925,96,8.3,13.02,3.58
926,108,6.3,11.02,1.58
928,108,6.3,11.02,1.58
929,96,8.3,13.02,3.58
932,96,8.3,13.02,3.58
933,108,6.3,11.02,1.58
934,96,8.3,13.02,3.58
935,108,6.3,11.02,1.58
940,96,8.3,13.02,3.58
941,108,6.3,11.02,1.58
947,96,8.3,13.02,3.58
948,108,6.3,11.02,1.58
950,96,8.3,13.02,3.58
951,108,6.3,11.02,1.58
952,96,8.3,13.02,3.58
953,108,6.3,11.02,1.58
954,96,8.3,13.02,3.58
955,108,6.3,11.02,1.58
956,96,8.3,13.02,3.58
957,108,6.3,11.02,1.58
958,96,8.3,13.02,3.58
959,108,6.3,11.02,1.58
960,96,8.3,13.02,3.58
961,108,6.3,11.02,1.58
962,96,8.3,13.02,3.58
963,108,6.3,11.02,1.58
964,96,8.3,13.02,3.58
965,108,6.3,11.02,1.58
966,96,8.3,13.02,3.58
967,108,6.3,11.02,1.58
968,96,8.3,13.02,3.58
969,108,6.3,11.02,1.58
970,96,8.3,13.02,3.58
971,108,6.3,11.02,1.58
972,96,8.3,13.02,3.58
973,108,6.3,11.02,1.58
974,96,8.3,13.02,3.58
975,108,6.3,11.02,1.58
976,96,8.3,13.02,3.58
977,108,6.3,11.02,1.58
978,96,8.3,13.02,3.58
979,108,6.3,11.02,1.58
980,96,8.3,13.02,3.58
981,108,6.3,11.02,1.58
982,96,8.3,13.02,3.58
983,108,6.3,11.02,1.58
984,96,8.3,13.02,3.58
985,108,6.3,11.02,1.58
986,96,8.3,13.02,3.58
987,108,6.3,11.02,1.58
988,96,8.3,13.02,3.58
989,108,6.3,11.02,1.58
990,96,8.3,13.02,3.58
991,108,6.3,11.02,1.58
992,96,8.3,13.02,3.58
993,108,6.3,11.02,1.58
994,96,8.3,13.02,3.58
995,108,6.3,11.02,1.58
996,96,8.3,13.02,3.58
997,108,6.3,11.02,1.58
998,96,8.3,13.02,3.58
999,108,6.3,11.02,1.58
1000,96,8.3,13.02,3.58
1001,108,6.3,11.02,1.58
1400,92,8.5,13.22,3.78
1401,95,8.6,13.32,3.88
1402,104,7.5,12.22,2.78
1403,99,8.1,12.82,3.38
1404,96,8.5,13.22,3.78
1405,119,6.2,10.92,1.48
1406,90,9.2,13.92,4.48
1407,104,7.5,12.22,2.78
1408,89,9.5,14.22,4.78
1409,108,6.8,11.52,2.08
1410,95,8.6,13.32,3.88
1411,101,7.9,12.62,3.18
