height,weight,age,male
151.765,47.8256065,63,1
139.7,36.4858065,63,0
136.525,31.864838,65,0
156.845,53.0419145,41,1
145.415,41.276872,51,0
163.83,62.992589,35,1
149.225,38.2434755,32,0
168.91,55.4800645,27,1
147.955,34.869684,19,0
165.1,54.487763,54,1
154.305,49.895778,47,0
151.13,29.1446955,29,0
144.78,51.942478,23,0
149.86,50.535786,56,0
163.83,55.8167915,27,1
158.115,51.7145615,33,1
143.51,47.8256065,17,0
121.92,28.1232325,18,0
136.525,34.0192025,19,0
157.48,55.1119195,20,1
148.59,53.5249765,51,0
147.32,46.49597,23,0
126.365,26.7605735,19,0
147.32,42.637944,56,0
162.56,61.8736715,73,1
168.275,55.8167915,19,1
147.955,51.25915,37,0
147.32,31.297572,26,0
139.7,31.752906,17,0
154.305,53.9779315,30,1
149.86,37.194544,39,0
144.78,46.72083,21,0
139.7,37.194544,88,0
147.32,37.876662,28,0
142.875,38.2434755,53,0
154.94,51.48401,32,1
154.305,35.380284,30,0
152.4,43.770016,52,1
149.225,29.936813,18,0
154.305,48.9881175,51,1
147.32,40.823539,34,0
149.225,42.184612,17,0
149.86,43.0929115,23,0
149.225,41.503705,26,0
144.78,38.2434755,21,0
154.305,40.823539,30,0
139.7,33.566871,26,0
147.32,46.49597,25,0
152.4,47.8256065,22,1
147.955,37.421377,17,0
139.7,30.844238,17,0
147.32,50.082454,26,0
152.4,51.71456,29,1
147.32,42.637944,29,0
149.86,36.061973,18,0
149.225,44.452134,18,0
144.78,33.339038,19,0
149.86,33.566871,32,0
149.86,41.049372,31,0
149.225,33.566871,41,0
154.305,47.8256065,20,1
139.7,32.659644,19,0
139.7,31.525739,18,0
142.875,43.999849,19,0
147.32,44.679967,20,0
142.875,33.566871,18,0
154.305,58.513458,32,1
149.225,35.8333455,19,0
149.225,38.2434755,18,0
144.78,32.659644,20,0
149.86,40.370206,19,0
142.875,35.8333455,18,0
149.225,43.999849,19,0
149.86,44.452134,26,0
144.78,35.8333455,18,0
154.305,46.49597,29,1
147.32,30.390906,18,0
154.305,47.8256065,25,1
154.305,55.3379815,29,1
139.7,36.7408025,19,0
149.225,49.4387165,30,0
149.86,46.49597,18,0
147.32,40.370206,18,0
149.225,35.8333455,19,0
144.78,35.8333455,20,0
154.305,52.84374,26,1
154.305,57.6063435,32,1
139.7,32.659644,19,0
147.32,36.287806,17,0
149.225,33.339038,18,0
147.32,30.844238,18,0
149.86,44.679967,18,0
144.78,29.936813,19,0
152.4,46.72083,26,1
142.875,35.3802845,18,0
149.225,34.0192025,18,0
149.86,35.8333455,18,0
139.7,32.659644,17,0
149.225,36.7408025,18,0
142.875,33.566871,18,0
154.305,45.359299,25,1
154.305,56.9252615,32,1
149.225,36.061973,18,0
149.86,37.876662,18,0
149.225,37.421377,18,0
147.32,36.061973,18,0
144.78,33.112705,19,0
154.305,51.48401,30,1
149.225,35.8333455,18,0
149.86,34.472016,18,0
142.875,36.061973,18,0
149.225,34.0192025,18,0
147.32,36.7408025,19,0
149.86,36.7408025,18,0
149.225,36.287806,18,0
149.86,33.566871,19,0
154.305,53.5249765,28,1
149.225,36.287806,18,0
149.86,38.2434755,18,0
142.875,33.339038,18,0
149.225,34.472016,18,0
147.32,33.339038,18,0
149.86,40.370206,18,0
149.225,34.472016,18,0
144.78,33.566871,19,0
154.305,51.02915,27,1
149.225,36.7408025,18,0
149.86,33.339038,18,0
142.875,32.659644,18,0
149.225,34.924349,18,0
147.32,33.566871,18,0
149.86,36.7408025,18,0
149.225,34.472016,18,0
147.32,32.659644,18,0
154.305,48.7602005,24,1
149.225,36.7408025,18,0
149.86,35.3802845,18,0
142.875,33.339038,18,0
149.225,34.472016,18,0
147.32,36.7408025,18,0
149.86,36.7408025,18,0
149.225,35.8333455,18,0
149.86,35.8333455,18,0
154.305,54.6597405,30,1
149.225,36.287806,18,0
142.875,32.659644,18,0
149.225,36.7408025,18,0
147.32,34.472016,18,0
149.86,36.7408025,18,0
149.225,34.924349,18,0
147.32,34.472016,18,0
154.305,50.762817,26,1
149.225,36.7408025,18,0
149.86,33.339038,18,0
142.875,32.659644,18,0
149.225,34.472016,18,0
147.32,35.8333455,18,0
149.86,36.7408025,18,0
149.225,36.061973,18,0
144.78,33.339038,18,0
154.305,53.5249765,27,1
149.225,36.7408025,18,0
149.86,35.8333455,18,0
142.875,33.566871,18,0
149.225,34.472016,18,0
147.32,36.287806,18,0
149.86,36.7408025,18,0
149.225,34.924349,18,0
149.86,35.8333455,18,0
154.305,52.39888,25,1
149.225,35.8333455,18,0
142.875,33.566871,18,0
149.225,36.061973,18,0
147.32,34.472016,18,0
149.86,36.7408025,18,0
149.225,36.287806,18,0
147.32,34.924349,18,0
154.305,50.535786,27,1
149.225,36.7408025,18,0
149.86,34.472016,18,0
142.875,32.659644,18,0
149.225,35.3802845,18,0
147.32,34.924349,18,0
149.86,36.7408025,18,0
149.225,35.8333455,18,0
149.86,35.8333455,18,0
154.305,53.0706665,27,1
149.225,36.287806,18,0
142.875,33.566871,18,0
149.225,34.472016,18,0
147.32,34.924349,18,0
149.86,36.7408025,18,0
149.225,36.061973,18,0
149.86,35.8333455,18,0
154.305,51.71456,25,1
149.225,36.7408025,18,0
149.86,34.472016,18,0
142.875,33.339038,18,0
149.225,34.924349,18,0
147.32,35.8333455,18,0
149.86,36.287806,18,0
149.225,36.061973,18,0
144.78,33.566871,18,0
154.305,53.9779315,29,1
149.225,36.7408025,18,0
149.86,34.472016,18,0
142.875,33.339038,18,0
149.225,34.924349,18,0
147.32,34.472016,18,0
149.86,36.7408025,18,0
149.225,36.287806,18,0
149.86,35.8333455,18,0
154.305,50.535786,26,1
149.225,36.287806,18,0
142.875,33.566871,18,0
149.225,35.3802845,18,0
147.32,34.924349,18,0
149.86,36.061973,18,0
149.225,36.7408025,18,0
147.32,34.472016,18,0
154.305,54.2040135,29,1
149.225,36.7408025,18,0
149.86,34.924349,18,0
142.875,33.566871,18,0
149.225,34.472016,18,0
147.32,35.8333455,18,0
149.86,36.287806,18,0
149.225,36.061973,18,0
149.86,35.8333455,18,0
154.305,52.84374,27,1
149.225,36.287806,18,0
142.875,32.659644,18,0
149.225,34.924349,18,0
147.32,34.472016,18,0
149.86,36.7408025,18,0
149.225,36.061973,18,0
147.32,35.3802845,18,0
154.305,53.070666,27,1
149.225,36.7408025,18,0
149.86,34.924349,18,0
142.875,33.339038,18,0
149.225,34.472016,18,0
147.32,35.8333455,18,0
149.86,36.287806,18,0
149.225,36.061973,18,0
149.86,35.8333455,18,0
154.305,51.94248,27,1
149.225,36.7408025,18,0
142.875,33.566871,18,0
149.225,34.924349,18,0
147.32,34.472016,18,0
149.86,36.287806,18,0
149.225,36.061973,18,0
147.32,35.3802845,18,0
154.305,53.070666,28,1
149.225,36.7408025,18,0
149.86,35.3802845,18,0
142.875,33.566871,18,0
149.225,34.924349,18,0
147.32,34.472016,18,0
149.86,36.287806,18,0
149.225,36.061973,18,0
149.86,35.8333455,18,0
154.305,52.84374,27,1
149.225,36.287806,18,0
142.875,33.339038,18,0
149.225,34.924349,18,0
147.32,35.8333455,18,0
149.86,36.7408025,18,0
149.225,36.061973,18,0
147.32,34.472016,18,0
154.305,52.39888,27,1
149.225,36.7408025,18,0
149.86,34.924349,18,0
142.875,33.566871,18,0
149.225,34.472016,18,0
147.32,35.8333455,18,0
149.86,36.287806,18,0
149.225,36.061973,18,0
149.86,35.8333455,18,0
154.305,53.5249765,28,1
149.225,36.287806,18,0
142.875,33.566871,18,0
149.225,34.924349,18,0
147.32,34.472016,18,0
149.86,36.7408025,18,0
149.225,36.061973,18,0
147.32,35.3802845,18,0
154.305,52.84374,27,1
149.225,36.7408025,18,0
149.86,34.924349,18,0
142.875,33.339038,18,0
149.225,34.472016,18,0
147.32,35.8333455,18,0
149.86,36.287806,18,0
149.225,36.061973,18,0
149.86,35.8333455,18,0
154.305,51.94248,27,1
149.225,36.287806,18,0
142.875,33.566871,18,0
149.225,34.924349,18,0
147.32,34.472016,18,0
149.86,36.7408025,18,0
149.225,36.061973,18,0
147.32,35.3802845,18,0
154.305,53.070666,28,1
149.225,36.7408025,18,0
149.86,35.3802845,18,0
142.875,33.566871,18,0
149.225,34.924349,18,0
147.32,34.472016,18,0
149.86,36.287806,18,0
149.225,36.061973,18,0
149.86,35.8333455,18,0
154.305,52.84374,27,1
149.225,36.287806,18,0
142.875,33.339038,18,0
149.225,34.924349,18,0
147.32,35.8333455,18,0
149.86,36.7408025,18,0
149.225,36.061973,18,0
147.32,34.472016,18,0
154.305,52.39888,27,1
149.225,36.7408025,18,0
149.86,34.924349,18,0
142.875,33.566871,18,0
149.225,34.472016,18,0
147.32,35.8333455,18,0
149.86,36.287806,18,0
149.225,36.061973,18,0
149.86,35.8333455,18,0
154.305,53.5249765,28,1
149.225,36.287806,18,0
142.875,33.566871,18,0
149.225,34.924349,18,0
147.32,34.472016,18,0
149.86,36.7408025,18,0
149.225,36.061973,18,0
147.32,35.3802845,18,0
154.305,52.84374,27,1
149.225,36.7408025,18,0
149.86,34.924349,18,0
142.875,33.339038,18,0
149.225,34.472016,18,0
147.32,35.8333455,18,0
149.86,36.287806,18,0
149.225,36.061973,18,0
149.86,35.8333455,18,0
154.305,51.94248,27,1
149.225,36.287806,18,0
142.875,33.566871,18,0
149.225,34.924349,18,0
147.32,34.472016,18,0
149.86,36.7408025,18,0
149.225,36.061973,18,0
147.32,35.3802845,18,0
154.305,53.070666,28,1
149.225,36.7408025,18,0
149.86,35.3802845,18,0
142.875,33.566871,18,0
149.225,34.924349,18,0
147.32,34.472016,18,0
149.86,36.287806,18,0
149.225,36.061973,18,0
149.86,35.8333455,18,0
154.305,52.84374,27,1
149.225,36.287806,18,0
142.875,33.339038,18,0
149.225,34.924349,18,0
147.32,35.8333455,18,0
149.86,36.7408025,18,0
149.225,36.061973,18,0
147.32,34.472016,18,0
154.305,52.39888,27,1
149.225,36.7408025,18,0
149.86,34.924349,18,0
142.875,33.566871,18,0
149.225,34.472016,18,0
147.32,35.8333455,18,0
149.86,36.287806,18,0
149.225,36.061973,18,0
149.86,35.8333455,18,0
154.305,53.5249765,28,1
149.225,36.287806,18,0
142.875,33.566871,18,0
149.225,34.924349,18,0
147.32,34.472016,18,0
149.86,36.7408025,18,0
149.225,36.061973,18,0
147.32,35.3802845,18,0
154.305,52.84374,27,1
149.225,36.7408025,18,0
149.86,34.924349,18,0
142.875,33.339038,18,0
149.225,34.472016,18,0
147.32,35.8333455,18,0
149.86,36.287806,18,0
149.225,36.061973,18,0
149.86,35.8333455,18,0
154.305,51.94248,27,1
149.225,36.287806,18,0
142.875,33.566871,18,0
149.225,34.924349,18,0
